"object_type","issue_type","minimum_image_evidence","applies_to"
"car","dent","At least 1 image showing the damaged part from a clear angle","car body panels"
"car","scratch","At least 1 close-up image showing the scratch mark","car body panels"
"car","crack","At least 1 image showing crack lines","car glass and body panels"
"car","glass_shatter","At least 1 image showing shattered glass pattern","car glass"
"car","broken_part","At least 1 image showing the broken or detached part","car parts"
"car","missing_part","At least 1 image showing where the part should be","car parts"
"laptop","dent","At least 1 image showing the dented area","laptop body"
"laptop","scratch","At least 1 close-up image showing the scratch","laptop surfaces"
"laptop","crack","At least 1 clear image showing the crack on screen or body","laptop screen and body"
"laptop","broken_part","At least 1 image showing the broken component","laptop components"
"laptop","missing_part","At least 1 image showing the missing component area","laptop components"
"laptop","stain","At least 1 image showing the stain on the laptop surface","laptop surfaces"
"laptop","water_damage","At least 1 image showing liquid damage indicators","laptop surfaces"
"package","torn_packaging","At least 1 image showing the torn packaging","package exterior"
"package","crushed_packaging","At least 1 image showing the crushed area","package exterior"
"package","water_damage","At least 1 image showing water damage to packaging","package exterior"
"package","stain","At least 1 image showing the stain on the package","package exterior"
"package","missing_part","At least 1 image showing the empty package interior","package contents"
"package","broken_part","At least 1 image showing the broken item","package contents"
